timestamp,accelerometer_x,accelerometer_y,accelerometer_z,magnetometer_x,magnetometer_y,magnetometer_z,gyroscope_x,gyroscope_y,gyroscope_z
1710733110057,0.011971008,-0.41180268,9.196129,-2.58,16.56,-46.62,-0.0031957934,-0.014913702,-0.03568636
1710733110168,-0.019153614,0.30645782,9.437943,-3.1799998,15.719999,-46.32,-0.004261058,0.002130529,0.010652645
1710733110266,0.16998832,-0.2705448,9.428367,-2.7,16.38,-46.739998,5.326322E-4,-0.002130529,0.0
1710733110366,-0.0023942017,0.2753332,9.43076,-2.9399998,16.8,-47.039997,0.0037284256,0.0,-0.013848438
1710733110468,0.045489833,-0.08140286,9.43076,-3.0,16.08,-46.62,0.006924219,0.0031957934,5.326322E-4
1710733110574,0.045489833,0.050278235,9.425972,-2.7,16.26,-46.92,0.0015978967,0.0,-0.002130529
1710733110680,0.06703765,-0.007182605,9.428367,-3.6599998,16.8,-46.62,-0.004261058,5.326322E-4,0.0026631611
1710733110778,0.07182605,-0.0023942017,9.425972,-3.24,16.26,-46.26,-5.326322E-4,-0.0015978967,-0.0037284256
1710733110888,0.08619126,0.079008654,9.41879,-3.36,16.8,-46.5,-0.002130529,0.0026631611,-0.002130529
1710733110988,0.07182605,0.0047884034,9.433155,-2.46,16.5,-47.16,-0.007456851,0.00479369,-0.0031957934
1710733111089,0.09816227,0.08379706,9.43076,-2.52,16.02,-46.739998,-0.0026631611,-0.0031957934,5.326322E-4
1710733111197,0.08619126,-0.045489833,9.461885,-3.3,16.02,-47.28,-0.0026631611,-0.0063915867,-0.002130529
1710733111302,0.10295067,0.20111294,9.44752,-3.0,16.859999,-45.84,0.004261058,-0.0026631611,0.0037284256
1710733111403,0.10534488,0.009576807,9.433155,-3.3,15.54,-46.86,-0.00479369,5.326322E-4,0.0031957934
1710733111512,0.090979666,0.10295067,9.428367,-2.22,16.68,-46.44,-0.012250541,-0.0031957934,-0.002130529
1710733111612,0.093373865,0.033518825,9.428367,-3.06,16.56,-46.02,-0.0026631611,-0.0037284256,0.002130529
1710733111713,0.059855044,0.0023942017,9.437943,-3.48,15.48,-46.559998,-5.326322E-4,-0.0010652645,5.326322E-4
1710733111816,0.06464344,0.08619126,9.44752,-2.82,16.619999,-46.32,5.326322E-4,0.0010652645,-5.326322E-4
1710733111919,0.06464344,0.02873042,9.44752,-2.76,16.619999,-47.399998,-0.00479369,-0.00958738,-5.326322E-4
1710733112024,0.08140286,0.031124622,9.440337,-3.06,16.38,-46.68,-5.326322E-4,-0.0010652645,0.0015978967
1710733112128,0.088585466,0.009576807,9.440337,-2.9399998,17.1,-46.92,-5.326322E-4,5.326322E-4,0.0015978967
1710733112230,0.062249243,0.04309563,9.44752,-3.0,16.14,-46.739998,5.326322E-4,0.0015978967,0.0026631611
1710733112337,0.08379706,0.01436521,9.449914,-2.3999999,16.26,-45.42,-5.326322E-4,5.326322E-4,-5.326322E-4
1710733112439,0.009576807,-0.10534488,9.454702,-3.0,15.78,-46.62,-0.0031957934,-0.0010652645,-0.007456851
1710733112543,0.2873042,0.6464345,9.404425,-3.6,16.199999,-46.44,5.326322E-4,0.0053263223,0.004261058
1710733112650,0.05267244,-0.08379706,9.442732,-3.12,16.02,-45.96,0.002130529,5.326322E-4,0.011185277
1710733112755,0.021547815,0.15083471,9.44752,-3.24,16.02,-46.44,-0.002130529,0.0,0.0015978967
1710733112859,0.11252748,0.01436521,9.437943,-3.12,16.44,-46.98,5.326322E-4,-5.326322E-4,0.0063915867
1710733112966,0.1340753,-0.02873042,9.440337,-3.1799998,16.38,-46.559998,0.0,0.002130529,0.0
1710733113072,0.059855044,0.1364695,9.454702,-3.36,16.56,-46.079998,-0.0026631611,0.0,0.007456851
1710733113181,0.08619126,-0.050278235,9.445126,-2.04,16.68,-46.379997,0.0,0.002130529,-0.0031957934
1710733113270,0.074220255,0.10055647,9.440337,-2.6399999,16.56,-46.62,0.002130529,0.0015978967,-0.0015978967
1710733113377,-0.23942018,-0.46926352,9.55047,-3.6,16.26,-46.5,-0.002130529,0.004261058,-0.02876214
1710733113483,0.50996494,1.103727,9.425972,-3.06,16.8,-46.559998,-0.013315806,-0.0127831735,-0.19813919
1710733113588,0.02633622,-0.033518825,9.454702,-2.52,16.74,-46.86,0.0,0.0031957934,0.009054748
